ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,CountValue,DOI
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,1/4/1942,1/10/1942,2,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,1/11/1942,1/17/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,1/18/1942,1/24/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,1/25/1942,1/31/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,2/1/1942,2/7/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,2/8/1942,2/14/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,2/15/1942,2/21/1942,2,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,2/22/1942,2/28/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,3/1/1942,3/7/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,3/8/1942,3/14/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,3/15/1942,3/21/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
Amebic dysentery,387754006,Entamoeba histolytica,5759,0,US,PENNSYLVANIA,US-PA,NA,NA,3/22/1942,3/28/1942,0,10.25337/T7/ptycho.v2.0/US.387754006
